Sample Size: 490 timeframes
Average MRE RAW: 7,275.0600
Average MRE SMOOTHED: 0.1925

Timeframe	RAW_MRE	SMOOTH_MRE
2018-09-04 15:15:00	6914.3166	0.3958
2018-09-17 22:30:00	7435.6616	0.0935
2018-09-04 19:45:00	7209.2546	0.2479
2018-09-19 17:15:00	7020.0148	0.3678
2018-09-27 07:45:00	7208.1641	0.2592
2018-09-09 14:30:00	7266.4685	0.1637
2018-09-30 02:30:00	7481.9969	0.0548
2018-09-19 21:45:00	7433.6609	0.1326
2018-09-15 07:00:00	7610.8401	0.0666
2018-09-24 16:15:00	6849.1363	0.4226
2018-09-19 02:15:00	7396.3419	0.0483
2018-09-01 08:15:00	7380.3212	0.1173
2018-09-18 04:45:00	7747.8257	0.0554
2018-09-11 17:45:00	6917.2914	0.4117
2018-09-06 00:45:00	7365.3446	0.0686
2018-09-28 00:15:00	7508.1875	0.0662
2018-09-01 15:45:00	7123.5924	0.2406
2018-09-27 06:00:00	7498.8092	0.0799
2018-09-02 07:45:00	7749.2200	0.0433
2018-09-26 19:15:00	7134.7404	0.2484
2018-09-22 08:30:00	7533.9578	0.0737
2018-09-24 10:45:00	6991.8311	0.3750
2018-09-23 12:15:00	7357.7374	0.1241
2018-09-27 09:45:00	6849.2918	0.4001
2018-09-14 09:45:00	6723.6144	0.4396
2018-09-02 17:30:00	7404.7282	0.1563
2018-09-19 07:00:00	7409.6575	0.1596
2018-09-20 08:00:00	6960.0728	0.3535
2018-09-20 02:00:00	7653.3733	0.0466
2018-09-19 05:00:00	7487.5841	0.0612
2018-09-05 01:45:00	7656.3579	0.0553
2018-09-19 17:30:00	6763.9492	0.4256
2018-09-21 19:00:00	7097.3839	0.2666
2018-09-17 10:30:00	6891.6535	0.3712
2018-09-02 12:45:00	7322.9623	0.1368
2018-09-19 11:00:00	6842.3297	0.4384
2018-09-13 14:45:00	7028.8989	0.3760
2018-09-12 21:15:00	7330.6443	0.1565
2018-09-29 07:15:00	7581.7898	0.0703
2018-09-21 13:45:00	6829.9438	0.4232
2018-09-20 07:00:00	7496.3873	0.0863
2018-09-19 21:30:00	7406.7947	0.1482
2018-09-15 08:30:00	7410.5424	0.1315
2018-09-17 12:30:00	6746.4692	0.3932
2018-08-31 20:45:00	7017.5287	0.1880
2018-09-06 01:15:00	7544.1483	0.0567
2018-09-17 12:00:00	6734.5828	0.4258
2018-09-28 07:00:00	7453.5841	0.1308
2018-09-24 18:30:00	6850.9837	0.3932
2018-09-30 11:45:00	7224.3945	0.1882
2018-09-12 05:30:00	7504.1389	0.0753
