bin,hour_dec,fair_per_day,ref_W1,ref_W3,ref_W4,ref_mean,ref_std,lift
139,11.583333333333334,96.33333333333333,135.0,104.33333333333333,116.0,118.44444444444444,12.638369952716547,-22.111111111111114
140,11.666666666666666,107.0,121.66666666666667,116.33333333333333,109.33333333333333,115.77777777777777,5.050363634383786,-8.777777777777771
141,11.75,98.0,119.33333333333333,89.0,100.0,102.77777777777777,12.538336274929375,-4.7777777777777715
142,11.833333333333334,91.66666666666667,128.66666666666666,86.66666666666667,103.0,106.1111111111111,17.28697504402778,-14.444444444444429
143,11.916666666666666,110.0,101.66666666666667,91.33333333333333,121.66666666666667,104.8888888888889,12.59139427849606,5.1111111111111
144,12.0,128.33333333333334,110.0,110.33333333333333,134.0,118.1111111111111,11.235965182406314,10.222222222222243
145,12.083333333333334,134.0,117.0,98.0,109.66666666666667,108.22222222222223,7.823674107681753,25.77777777777777
146,12.166666666666666,127.33333333333333,112.0,135.66666666666666,82.33333333333333,110.0,21.819121753042076,17.33333333333333
147,12.25,94.66666666666667,104.33333333333333,157.0,121.66666666666667,127.66666666666667,21.915663263891794,-33.0
148,12.333333333333334,146.0,81.66666666666667,148.0,131.66666666666666,120.44444444444446,28.21915993884865,25.555555555555543
149,12.416666666666666,143.33333333333334,112.66666666666667,115.66666666666667,109.0,112.44444444444446,2.7261875880856237,30.888888888888886
150,12.5,145.0,95.66666666666667,102.0,93.66666666666667,97.11111111111113,3.552081636254616,47.88888888888887
151,12.583333333333334,136.33333333333334,133.66666666666666,108.0,106.66666666666667,116.1111111111111,12.425580941283789,20.222222222222243
152,12.666666666666666,116.33333333333333,115.66666666666667,121.66666666666667,124.33333333333333,120.55555555555556,3.6243347622889055,-4.2222222222222285
153,12.75,137.66666666666666,91.66666666666667,127.66666666666667,95.33333333333333,104.8888888888889,16.175732471441734,32.77777777777776
154,12.833333333333334,94.66666666666667,108.66666666666667,132.0,92.66666666666667,111.11111111111113,16.150526498316996,-16.444444444444457
155,12.916666666666666,113.66666666666667,102.0,136.0,72.0,103.33333333333333,26.144895401503437,10.333333333333343
156,13.0,103.33333333333333,122.66666666666667,129.66666666666666,101.66666666666667,118.0,11.897712198383159,-14.666666666666671
